City_ID,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
429,pointe aux piments,21.03,57.5131,-20.0628,87,6.06,93
430,kindu,24.73,25.95,-2.95,99,0.74,53
431,havre,14.87,0.3333,49.5833,100,3.6,88
432,kingston,29.53,-76.7936,17.997,5,7.2,70
433,broken hill,10.0,141.4333,-31.95,6,7.28,50
434,saint-pierre,18.82,55.4781,-21.3393,0,4.12,55
435,grand falls-windsor,16.39,-55.6649,48.9332,100,0.89,86
436,ola,8.12,151.2833,59.5833,100,7.12,96
437,manjeshvar,26.66,74.8833,12.7,100,2.95,83
438,vadso,8.09,29.7487,70.0744,40,1.03,93
439,talagutong,27.77,125.6678,6.2644,100,0.41,75
440,tikrit,31.44,43.6782,34.6071,0,3.49,17
441,sweet home,25.94,-122.7362,44.3976,10,0.45,46
442,yorkton,18.91,-102.4677,51.2167,75,4.12,59
443,port douglas,24.82,145.4667,-16.4833,54,4.68,65
444,huangnihe,22.92,128.0239,43.5583,10,1.68,45
445,barcelos,16.12,-8.6151,41.5388,0,1.21,94
446,laksham,26.43,91.1425,23.2472,100,3.86,94
447,spassk-dal'niy,19.86,132.8211,44.5978,0,3.33,65
448,fortaleza,26.07,-38.5247,-3.7227,20,2.06,83
449,mount isa,17.87,139.5,-20.7333,20,8.23,68
450,skidaway island,28.74,-81.0471,31.9349,0,4.02,83
451,sinabang,27.13,96.3801,2.4803,98,1.23,75
452,umluj,30.0,37.2685,25.0213,42,3.51,56
453,anar darah,27.71,61.654,32.7587,3,6.88,25
454,bijapur,24.58,75.7,16.8333,100,7.15,77
455,laojunmiao,21.36,97.7333,39.8333,30,6.75,31
456,kourou,28.03,-52.6478,5.1552,58,4.21,90
457,cambria,22.21,-121.0808,35.5641,0,7.03,54
458,semnan,24.36,53.3971,35.5729,70,3.42,50
459,shetpe,19.65,52.1167,44.1667,0,1.4,35
460,rada tilly,6.27,-67.5333,-45.9333,0,12.86,56
461,launceston,8.42,147.1667,-41.45,4,0.92,54
462,sangre grande,25.94,-61.1177,10.5835,100,2.37,92
463,berdychiv,18.99,28.6024,49.8993,0,3.85,71
464,guerrero negro,20.15,-114.0611,27.9769,18,7.28,80
